year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2017,9,9,Abilene Christian,Colorado St.,V,10,38,NA,2
2017,9,3,Abilene Christian,New Mexico,V,14,38,NA,2
2017,11,4,Air Force,Army West Point,H,0,21,NA,2
2017,11,19,Air Force,Boise St.,V,19,44,NA,2
2017,10,28,Air Force,Colorado St.,V,45,28,2,NA
2017,9,16,Air Force,Michigan,V,13,29,NA,2
2017,10,7,Air Force,Navy,V,45,48,NA,2
2017,10,21,Air Force,Nevada,V,45,42,NA,2
2017,10,1,Air Force,New Mexico,V,38,56,NA,2
2017,9,24,Air Force,South Dakota St.,H,24,28,NA,2
2017,10,14,Air Force,UNLV,H,34,30,NA,2
2017,11,26,Air Force,Utah St.,H,38,35,NA,2
2017,9,2,Air Force,VMI,H,62,0,NA,2
2017,11,12,Air Force,Wyoming,H,14,28,NA,2
2017,9,9,Akron,Ark.-Pine Bluff,H,52,3,NA,2
2017,10,7,Akron,Ball St.,H,31,3,NA,2
2017,9,30,Akron,Bowling Green,V,34,23,NA,2
2017,10,28,Akron,Buffalo,H,21,20,NA,2
2017,9,16,Akron,Iowa St.,H,14,41,NA,2
2017,11,22,Akron,Kent St.,H,24,14,NA,2
2017,11,8,Akron,Miami (OH),V,14,24,NA,2
2017,11,15,Akron,Ohio,H,37,34,NA,2
2017,9,2,Akron,Penn St.,V,0,52,NA,2
2017,10,21,Akron,Toledo,V,21,48,NA,2
2017,12,2,Akron,Toledo,V,28,45,NA,2
2017,9,23,Akron,Troy,V,17,22,NA,2
2017,10,15,Akron,Western Mich.,V,14,13,NA,2
2017,10,15,Alabama,Arkansas,H,41,9,NA,2
2017,11,25,Alabama,Auburn,V,14,26,NA,2
2017,9,17,Alabama,Colorado St.,H,41,23,NA,2
2017,9,3,Alabama,Florida St.,H,24,7,NA,2
2017,9,9,Alabama,Fresno St.,H,41,10,NA,2
2017,11,5,Alabama,LSU,H,24,10,NA,2
2017,11,18,Alabama,Mercer,H,56,0,NA,2
2017,11,12,Alabama,Mississippi St.,V,31,24,NA,2
2017,10,1,Alabama,Ole Miss,H,66,3,NA,2
2017,10,21,Alabama,Tennessee,H,45,7,NA,2
2017,10,8,Alabama,Texas A&M,V,27,19,NA,2
2017,9,23,Alabama,Vanderbilt,V,59,0,NA,2
2017,9,17,Alabama A&M,South Ala.,V,0,45,NA,2
2017,9,9,Alabama A&M,Vanderbilt,V,0,42,NA,2
2017,9,9,Alabama St.,Troy,V,7,34,NA,2
2017,9,2,Albany (NY),Old Dominion,V,17,31,NA,2
2017,9,9,Alcorn,FIU,V,10,17,NA,2
2017,10,21,Appalachian St.,Coastal Carolina,H,37,29,NA,2
2017,11,10,Appalachian St.,Ga. Southern,H,27,6,NA,2
2017,9,2,Appalachian St.,Georgia,V,10,31,NA,2
2017,11,25,Appalachian St.,Georgia St.,V,31,10,NA,2
2017,11,4,Appalachian St.,La.-Monroe,V,45,52,NA,2
2017,12,2,Appalachian St.,Louisiana,H,63,14,NA,2
2017,10,7,Appalachian St.,New Mexico St.,H,45,31,NA,2
2017,9,9,Appalachian St.,Savannah St.,H,54,7,NA,2
2017,9,17,Appalachian St.,Texas St.,V,20,13,NA,2
2017,9,23,Appalachian St.,Wake Forest,H,19,20,NA,2
2017,11,25,Arizona,Arizona St.,V,30,42,NA,2
2017,10,22,Arizona,California,V,45,44,2,2
2017,10,8,Arizona,Colorado,V,45,42,NA,2
2017,9,10,Arizona,Houston,H,16,19,NA,2
2017,9,3,Arizona,Northern Ariz.,H,62,24,NA,2
2017,11,19,Arizona,Oregon,V,28,48,NA,2
2017,11,12,Arizona,Oregon St.,H,49,28,NA,2
2017,11,5,Arizona,South Carolina,V,35,49,NA,2
2017,10,15,Arizona,UCLA,H,47,30,NA,2
2017,9,23,Arizona,Utah,H,24,30,NA,2
2017,9,16,Arizona,UTEP,V,63,16,NA,2
2017,10,29,Arizona,Washington St.,H,58,37,NA,2
2017,11,25,Arizona St.,Arizona,H,42,30,NA,2
2017,11,5,Arizona St.,Colorado,H,41,30,NA,2
2017,9,1,Arizona St.,New Mexico St.,H,37,31,NA,2
2017,9,24,Arizona St.,Oregon,H,37,35,NA,2
2017,11,18,Arizona St.,Oregon St.,V,40,24,NA,2
2017,10,29,Arizona St.,South Carolina,H,17,48,NA,2
2017,9,10,Arizona St.,South Dakota St.,H,20,30,NA,2
2017,9,30,Arizona St.,Stanford,V,24,34,NA,2
2017,9,17,Arizona St.,Texas Tech,V,45,52,NA,2
2017,11,12,Arizona St.,UCLA,V,37,44,NA,2
2017,10,21,Arizona St.,Utah,V,30,10,NA,2
2017,10,15,Arizona St.,Washington,H,13,7,NA,2
2017,10,15,Arkansas,Alabama,V,9,41,NA,2
2017,10,22,Arkansas,Auburn,H,20,52,NA,2
2017,11,4,Arkansas,Coastal Carolina,H,39,38,NA,2
2017,9,1,Arkansas,Florida A&M,H,49,7,NA,2
2017,11,11,Arkansas,LSU,V,10,33,NA,2
2017,11,18,Arkansas,Mississippi St.,H,21,28,NA,2
2017,11,24,Arkansas,Missouri,H,45,48,NA,2
2017,9,30,Arkansas,New Mexico St.,H,42,24,NA,2
2017,10,28,Arkansas,Ole Miss,V,38,37,2,NA
2017,9,9,Arkansas,TCU,H,7,28,NA,2
2017,9,23,Arkansas,Texas A&M,H,43,50,1,2
2017,11,4,Army West Point,Air Force,V,21,0,NA,2
2017,9,9,Army West Point,Buffalo,H,21,17,NA,2
2017,11,11,Army West Point,Duke,H,21,16,NA,2
2017,10,14,Army West Point,Eastern Mich.,H,28,27,NA,2
2017,9,1,Army West Point,Fordham,H,64,6,NA,2
2017,12,9,Army West Point,Navy,V,14,13,NA,2
2017,11,18,Army West Point,North Texas,V,49,52,NA,2
2017,9,16,Army West Point,Ohio St.,V,7,38,NA,2
2017,10,7,Army West Point,Rice,V,49,12,NA,2
2017,10,21,Army West Point,Temple,H,31,28,1,2
2017,9,23,Army West Point,Tulane,V,17,21,NA,2
2017,9,30,Army West Point,UTEP,H,35,21,NA,2
2017,11,25,Auburn,Alabama,H,26,14,NA,2
2017,10,22,Auburn,Arkansas,V,52,20,NA,2
2017,9,10,Auburn,Clemson,V,6,14,NA,2
2017,9,3,Auburn,Ga. Southern,H,41,7,NA,2
2017,11,11,Auburn,Georgia,H,40,17,NA,2
2017,12,2,Auburn,Georgia,H,7,28,NA,2
2017,11,18,Auburn,La.-Monroe,H,42,14,NA,2
2017,10,14,Auburn,LSU,V,23,27,NA,2
2017,9,16,Auburn,Mercer,H,24,10,NA,2
2017,9,30,Auburn,Mississippi St.,H,49,10,NA,2
2017,9,24,Auburn,Missouri,V,51,14,NA,2
2017,10,7,Auburn,Ole Miss,H,44,23,NA,2
2017,11,4,Auburn,Texas A&M,V,42,27,NA,2
2017,9,1,Austin Peay,Cincinnati,V,14,26,NA,2
2017,9,9,Austin Peay,Miami (OH),V,10,31,NA,2
2017,10,28,Austin Peay,UCF,V,33,73,2,NA
2017,11,17,Ball St.,Buffalo,H,24,40,NA,2
2017,10,21,Ball St.,Central Mich.,H,9,56,NA,2
2017,11,2,Ball St.,Eastern Mich.,V,14,56,NA,2
2017,9,2,Ball St.,Illinois,V,21,24,NA,2
2017,11,22,Ball St.,Miami (OH),H,7,28,NA,2
2017,11,10,Ball St.,Northern Ill.,V,17,63,NA,2
2017,9,16,Ball St.,Tennessee Tech,H,28,13,NA,2
2017,10,27,Ball St.,Toledo,H,17,58,NA,2
2017,9,24,Ball St.,Western Ky.,V,21,33,NA,2
2017,10,1,Ball St.,Western Mich.,V,3,55,NA,2
2017,9,16,Baylor,Duke,V,20,34,NA,2
2017,11,18,Baylor,Iowa St.,H,13,23,NA,2
2017,11,4,Baylor,Kansas,V,38,9,NA,2
2017,9,30,Baylor,Kansas St.,V,20,33,NA,2
2017,9,3,Baylor,Liberty,H,45,48,NA,2
2017,9,23,Baylor,Oklahoma,H,41,49,NA,2
2017,10,14,Baylor,Oklahoma St.,V,16,59,NA,2
2017,11,24,Baylor,TCU,V,22,45,NA,2
2017,10,28,Baylor,Texas,H,7,38,NA,2
2017,11,11,Baylor,Texas Tech,H,24,38,NA,2
2017,9,10,Baylor,UTSA,H,10,17,NA,2
2017,10,22,Baylor,West Virginia,H,36,38,NA,2
2017,9,16,Bethune-Cookman,Fla. Atlantic,V,0,45,NA,2
2017,9,2,Bethune-Cookman,Miami (FL),V,13,41,NA,2
2017,11,19,Boise St.,Air Force,H,44,19,NA,2
2017,10,7,Boise St.,BYU,V,24,7,NA,2
2017,11,12,Boise St.,Colorado St.,V,59,52,1,2
2017,11,25,Boise St.,Fresno St.,V,17,28,NA,2
2017,12,3,Boise St.,Fresno St.,H,17,14,NA,2
2017,11,4,Boise St.,Nevada,H,41,14,NA,2
2017,9,15,Boise St.,New Mexico,H,28,14,NA,2
2017,10,15,Boise St.,South Dakota St.,V,31,14,NA,2
2017,9,2,Boise St.,Troy,H,24,13,NA,2
2017,10,29,Boise St.,Utah St.,V,41,14,2,NA
2017,9,23,Boise St.,Virginia,H,23,42,NA,2
2017,9,10,Boise St.,Washington St.,V,44,47,3,2
2017,10,22,Boise St.,Wyoming,H,24,14,NA,2
2017,9,30,Boston College,Central Mich.,H,28,8,NA,2
2017,9,23,Boston College,Clemson,V,7,34,NA,2
2017,10,28,Boston College,Florida St.,H,35,3,NA,2
2017,10,14,Boston College,Louisville,V,45,42,NA,2
2017,11,11,Boston College,North Carolina St.,H,14,17,NA,2
2017,9,2,Boston College,Northern Ill.,V,23,20,NA,2
2017,9,16,Boston College,Notre Dame,H,20,49,NA,2
2017,11,25,Boston College,Syracuse,V,42,14,NA,2
2017,10,21,Boston College,Virginia,V,41,10,NA,2
2017,10,8,Boston College,Virginia Tech,H,10,23,NA,2
2017,9,9,Boston College,Wake Forest,H,10,34,NA,2
2017,11,8,Bowling Green,Buffalo,V,28,38,NA,2
2017,11,22,Bowling Green,Eastern Mich.,V,31,34,NA,2
2017,11,1,Bowling Green,Kent St.,V,44,16,NA,2
2017,10,7,Bowling Green,Miami (OH),V,37,29,NA,2
2017,9,2,Bowling Green,Michigan St.,V,10,35,NA,2
2017,9,24,Bowling Green,Middle Tenn.,V,13,24,NA,2
2017,10,21,Bowling Green,Northern Ill.,H,17,48,NA,2
2017,9,17,Bowling Green,Northwestern,V,7,49,NA,2
2017,10,14,Bowling Green,Ohio,H,30,48,NA,2
2017,9,9,Bowling Green,South Dakota,H,27,35,NA,2
2017,11,16,Bowling Green,Toledo,H,37,66,NA,2
2017,9,9,Buffalo,Army West Point,V,17,21,NA,2
2017,11,17,Buffalo,Ball St.,V,40,24,NA,2
2017,11,8,Buffalo,Bowling Green,H,38,28,NA,2
2017,9,16,Buffalo,Colgate,H,33,10,NA,2
2017,9,24,Buffalo,Fla. Atlantic,H,34,31,NA,2
2017,9,30,Buffalo,Kent St.,V,27,13,NA,2
2017,10,21,Buffalo,Miami (OH),V,14,24,NA,2
2017,9,1,Buffalo,Minnesota,V,7,17,NA,2
2017,10,14,Buffalo,Northern Ill.,H,13,14,NA,2
2017,11,24,Buffalo,Ohio,H,31,24,NA,2
2017,10,7,Buffalo,Western Mich.,H,68,71,NA,2
2017,10,7,BYU,Boise St.,H,7,24,NA,2
2017,10,22,BYU,East Carolina,V,17,33,NA,2
