year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2017,9,8,USU,IDST,H,51,13,NA,2
2017,9,8,USA,OKST,H,7,44,NA,2
2017,9,9,FIU,ALCN,H,17,10,NA,2
2017,9,9,PUR,OHIO,H,44,21,NA,2
2017,9,9,ALA,FRES,H,41,10,NA,2
2017,9,9,PSU,PITT,H,33,14,NA,2
2017,9,9,MICH,CIN,H,36,14,NA,2
2017,9,9,WIS,FAU,H,31,14,NA,2
2017,9,9,UNC,LOU,H,35,47,NA,2
2017,9,9,VT,DEL,H,27,0,NA,2
2017,9,9,KSU,CHAR,H,55,7,NA,2
2017,9,9,ARK,TCU,H,7,28,NA,2
2017,9,9,TENN,INST,H,42,7,NA,2
2017,9,9,DUKE,NW,H,41,17,NA,2
2017,9,9,WVU,ECU,H,56,20,NA,2
2017,9,9,ARMY,BUFF,H,21,17,NA,2
2017,9,9,MD,TOWS,H,63,17,NA,2
2017,9,9,UK,EKY,H,27,16,NA,2
2017,9,9,MISS,UTM,H,45,23,NA,2
2017,9,9,ISU,IOWA,H,41,44,1,2
2017,9,9,GT,JVST,H,37,10,NA,2
2017,9,9,BC,WAKE,H,10,34,NA,2
2017,9,9,COLO,TXST,H,37,3,NA,2
2017,9,9,BALL,UAB,H,51,31,NA,2
2017,9,9,NAVY,TULN,H,23,21,NA,2
2017,9,9,UVA,IND,H,17,34,NA,2
2017,9,9,TEM,NOVA,H,16,13,NA,2
2017,9,9,APP,SAV,H,54,7,NA,2
2017,9,9,M-OH,PEAY,H,31,10,NA,2
2017,9,9,NIU,EIU,H,38,10,NA,2
2017,9,9,KENT,HOW,H,38,31,NA,2
2017,9,9,SYR,MTSU,H,23,30,NA,2
2017,9,9,UMASS,ODU,H,7,17,NA,2
2017,9,9,MSU,WMU,H,28,14,NA,2
2017,9,9,RUTG,EMU,H,13,16,NA,2
2017,9,9,TEX,SJSU,H,56,0,NA,2
2017,9,9,CSU,ACU,H,38,10,NA,2
2017,9,9,WYO,WEBB,H,27,0,NA,2
2017,9,9,KU,CMU,H,27,45,NA,2
2017,9,9,VAN,AAMU,H,42,0,NA,2
2017,9,9,GASO,UNH,H,12,22,NA,2
2017,9,9,TLSA,ULL,H,66,42,NA,2
2017,9,9,ORE,NEB,H,42,35,NA,2
2017,9,9,UCLA,HAW,H,56,23,NA,2
2017,9,9,CAL,WEB,H,33,20,NA,2
2017,9,9,NCST,MRSH,H,37,20,NA,2
2017,9,9,BGSU,SDAK,H,27,35,NA,2
2017,9,9,TROY,ALST,H,34,7,NA,2
2017,9,9,AKR,UAPB,H,52,3,NA,2
2017,9,10,OSU,OKLA,H,16,31,NA,2
2017,9,10,CLEM,AUB,H,14,6,NA,2
2017,9,10,USC,STAN,H,42,24,NA,2
2017,9,10,WASH,MONT,H,63,7,NA,2
2017,9,10,LSU,CHAT,H,45,10,NA,2
2017,9,10,ND,UGA,H,19,20,NA,2
2017,9,10,WSU,BSU,H,47,44,3,2
2017,9,10,NEV,TOL,H,24,37,NA,2
2017,9,10,IDHO,UNLV,H,16,44,NA,2
2017,9,10,USM,SOU,H,45,0,NA,2
2017,9,10,SMU,UNT,H,54,32,NA,2
2017,9,10,MIZ,SC,H,13,31,NA,2
2017,9,10,TA&M,NICH,H,24,14,NA,2
2017,9,10,LT,MSST,H,21,57,NA,2
2017,9,10,BAY,UTSA,H,10,17,NA,2
2017,9,10,ILL,WKU,H,20,7,NA,2
2017,9,10,UTEP,RICE,H,14,31,NA,2
2017,9,10,UNM,NMSU,H,28,30,NA,2
2017,9,10,ORST,MINN,H,14,48,NA,2
2017,9,10,BYU,UTAH,H,13,19,NA,2
2017,9,10,ARIZ,HOU,H,16,19,NA,2
2017,9,10,ASU,SDSU,H,20,30,NA,2
2017,9,8,IDST,USU,V,13,51,NA,2
2017,9,8,OKST,USA,V,44,7,NA,2
2017,9,9,ALCN,FIU,V,10,17,NA,2
2017,9,9,OHIO,PUR,V,21,44,NA,2
2017,9,9,FRES,ALA,V,10,41,NA,2
2017,9,9,PITT,PSU,V,14,33,NA,2
2017,9,9,CIN,MICH,V,14,36,NA,2
2017,9,9,FAU,WIS,V,14,31,NA,2
2017,9,9,LOU,UNC,V,47,35,NA,2
2017,9,9,DEL,VT,V,0,27,NA,2
2017,9,9,CHAR,KSU,V,7,55,NA,2
2017,9,9,TCU,ARK,V,28,7,NA,2
2017,9,9,INST,TENN,V,7,42,NA,2
2017,9,9,NW,DUKE,V,17,41,NA,2
2017,9,9,ECU,WVU,V,20,56,NA,2
2017,9,9,BUFF,ARMY,V,17,21,NA,2
2017,9,9,TOWS,MD,V,17,63,NA,2
2017,9,9,EKY,UK,V,16,27,NA,2
2017,9,9,UTM,MISS,V,23,45,NA,2
2017,9,9,IOWA,ISU,V,44,41,1,2
2017,9,9,JVST,GT,V,10,37,NA,2
2017,9,9,WAKE,BC,V,34,10,NA,2
2017,9,9,TXST,COLO,V,3,37,NA,2
2017,9,9,UAB,BALL,V,31,51,NA,2
2017,9,9,TULN,NAVY,V,21,23,NA,2
2017,9,9,IND,UVA,V,34,17,NA,2
2017,9,9,NOVA,TEM,V,13,16,NA,2
2017,9,9,SAV,APP,V,7,54,NA,2
2017,9,9,PEAY,M-OH,V,10,31,NA,2
2017,9,9,EIU,NIU,V,10,38,NA,2
2017,9,9,HOW,KENT,V,31,38,NA,2
2017,9,9,MTSU,SYR,V,30,23,NA,2
2017,9,9,ODU,UMASS,V,17,7,NA,2
2017,9,9,WMU,MSU,V,14,28,NA,2
2017,9,9,EMU,RUTG,V,16,13,NA,2
2017,9,9,SJSU,TEX,V,0,56,NA,2
2017,9,9,ACU,CSU,V,10,38,NA,2
2017,9,9,WEBB,WYO,V,0,27,NA,2
2017,9,9,CMU,KU,V,45,27,NA,2
2017,9,9,AAMU,VAN,V,0,42,NA,2
2017,9,9,UNH,GASO,V,22,12,NA,2
2017,9,9,ULL,TLSA,V,42,66,NA,2
2017,9,9,NEB,ORE,V,35,42,NA,2
2017,9,9,HAW,UCLA,V,23,56,NA,2
2017,9,9,WEB,CAL,V,20,33,NA,2
2017,9,9,MRSH,NCST,V,20,37,NA,2
2017,9,9,SDAK,BGSU,V,35,27,NA,2
2017,9,9,ALST,TROY,V,7,34,NA,2
2017,9,9,UAPB,AKR,V,3,52,NA,2
2017,9,10,OKLA,OSU,V,31,16,NA,2
2017,9,10,AUB,CLEM,V,6,14,NA,2
2017,9,10,STAN,USC,V,24,42,NA,2
2017,9,10,MONT,WASH,V,7,63,NA,2
2017,9,10,CHAT,LSU,V,10,45,NA,2
2017,9,10,UGA,ND,V,20,19,NA,2
2017,9,10,BSU,WSU,V,44,47,3,2
2017,9,10,TOL,NEV,V,37,24,NA,2
2017,9,10,UNLV,IDHO,V,44,16,NA,2
2017,9,10,SOU,USM,V,0,45,NA,2
2017,9,10,UNT,SMU,V,32,54,NA,2
2017,9,10,SC,MIZ,V,31,13,NA,2
2017,9,10,NICH,TA&M,V,14,24,NA,2
2017,9,10,MSST,LT,V,57,21,NA,2
2017,9,10,UTSA,BAY,V,17,10,NA,2
2017,9,10,WKU,ILL,V,7,20,NA,2
2017,9,10,RICE,UTEP,V,31,14,NA,2
2017,9,10,NMSU,UNM,V,30,28,NA,2
2017,9,10,MINN,ORST,V,48,14,NA,2
2017,9,10,UTAH,BYU,V,19,13,NA,2
2017,9,10,HOU,ARIZ,V,19,16,NA,2
2017,9,10,SDSU,ASU,V,30,20,NA,2
