,team,YUSAG_coef
1,Alabama,49.74319831388044
2,Clemson,45.209457613951436
3,Georgia,40.633963485476144
4,Michigan,35.73573377775988
5,Oklahoma,35.493627048498404
6,Ohio St.,35.05618649866665
7,Mississippi St.,32.851217448085734
8,Penn St.,31.962318209965908
9,Notre Dame,31.711557038697674
10,Southern California,31.556608773394096
11,Missouri,31.48021370361187
12,West Virginia,30.949420728283048
13,LSU,29.8471320604986
14,Iowa,29.384578210358786
15,Florida,28.439466331204144
16,UCF,28.032891515798344
17,Washington,27.94063369814179
18,Auburn,27.413373748331313
19,Washington St.,25.797339459714376
20,Texas A&M,25.774954854494077
21,Utah,25.677206782819162
22,Fresno St.,25.314308578238826
23,Texas,25.200038864824126
24,Iowa St.,24.422478163212684
25,Kentucky,24.125508180439482
26,North Carolina St.,23.70862114603443
27,Drake,23.514387158170678
28,Oklahoma St.,23.313677243977246
29,Stanford,23.297676398883585
30,Boise St.,23.090141319689927
31,Utah St.,23.02831735636708
32,Villanova,23.016539027448818
33,Vanderbilt,22.773171229266275
34,Miami (FL),22.611205299568255
35,Wisconsin,22.596693281953375
36,Purdue,22.41066741065237
37,San Diego St.,20.550286482119912
38,Michigan St.,20.53799499102543
39,Syracuse,20.276988892409697
40,Texas Tech,20.237879581847782
41,Temple,19.7383939415505
42,TCU,19.59665093940138
43,Georgia Tech,19.436169592340644
44,Oregon,19.342693617848646
45,Northwestern,19.327156458978884
46,Cincinnati,19.14828003102026
47,Arizona St.,18.577496916409512
48,Army West Point,18.066700383117293
49,Boston College,18.023839337794662
50,Kansas St.,17.931719025606135
51,Illinois St.,17.84626498297761
52,Tennessee St.,17.769073180750105
53,Ohio,16.84142273489317
54,South Carolina,16.680673153490297
55,Pittsburgh,16.55908786989848
56,Memphis,16.40232894265616
57,Minnesota,16.401343668214103
58,Appalachian St.,16.2220661316022
59,Maryland,16.115291611692157
60,Ole Miss,15.456497611454376
61,Houston,15.35923490019093
62,Virginia,15.346015238652031
63,James Madison,15.031026479805934
64,Indiana,14.995492865235564
65,South Dakota,14.947039403063219
66,The Citadel,14.52055445870992
67,Duke,14.480453232490296
68,Nebraska,14.388156342760686
69,California,14.132034671609523
70,Wake Forest,13.768459274988977
71,BYU,13.378632370281338
72,Virginia Tech,12.896035477132484
73,Baylor,12.678957279678784
74,Tennessee,12.428908910665898
75,Toledo,12.306561600778219
76,Colorado,12.187243939270074
77,UCLA,11.689592487934425
78,Arizona,11.68040879984475
79,Florida St.,11.620606732189557
80,Buffalo,11.555445952341463
81,South Dakota St.,10.880319002297218
82,Air Force,10.183928117401715
83,Northern Ill.,9.98855654331036
84,Wyoming,9.277508031075632
85,North Texas,9.14084381008824
86,Eastern Mich.,9.08313024280156
87,Miami (OH),8.816476203840146
88,Middle Tenn.,8.762765881668868
89,Nevada,8.727516653343505
90,Marshall,8.685901707848009
91,Wofford,8.276920664000587
92,Kansas,7.925760848385562
93,Tulane,7.637730142947387
94,UNI,7.5237720883737245
95,Fla. Atlantic,7.290578863611147
96,North Carolina,6.090071691252821
97,Arkansas,6.046691396490303
98,Troy,6.045252704211058
99,Ga. Southern,5.771052732566354
100,Arkansas St.,5.58726344600573
101,South Fla.,5.476473838719449
102,Navy,5.373751980342148
103,Western Mich.,5.201153002238709
104,Samford,5.194439799214549
105,SMU,4.984800671958416
106,FIU,4.330114880129578
107,Furman,4.290305987041008
108,Southern Miss.,4.056205019276128
109,Colgate,3.8404520166782206
110,UC Davis,3.092519238259329
111,Louisiana Tech,2.9550065479995498
112,Northern Ariz.,2.445901413971898
113,N.C. A&T,2.1733303986899344
114,Tulsa,2.1331383364354894
115,Lafayette,2.0701101337703522
116,Hawaii,1.272978332928947
117,UAB,1.1987858128929767
118,Louisiana,0.4158839105907849
119,Nicholls St.,0.25105706537101746
120,Youngstown St.,-0.10212917860393007
121,Colorado St.,-0.141988228842269
122,Louisville,-0.4528276082713926
123,Rutgers,-0.5298478268138359
124,Illinois,-0.6193028703284685
125,Sacramento St.,-1.1123260691367203
126,Akron,-1.4916860040221402
127,Southeastern La.,-1.943752182760559
128,Weber St.,-2.3885671683084073
129,Austin Peay,-2.7751673425806973
130,UNLV,-2.805964876670088
131,Charlotte,-2.830483907826603
132,Western Ky.,-2.959709985606603
133,Chattanooga,-3.1087226328653346
134,New Mexico,-3.1469929643877914
135,Montana St.,-3.1629605717604177
136,Central Mich.,-3.2920374809422124
137,Massachusetts,-3.40264432107011
138,Liberty,-3.8382743035176863
139,Oregon St.,-3.973655823376185
140,La.-Monroe,-4.021029714375596
141,East Carolina,-5.0022303063462505
142,San Jose St.,-5.269521727173076
143,Jacksonville St.,-5.499774431105797
144,Maine,-5.555031907549755
145,Northern Colo.,-5.751483437485821
146,Ball St.,-5.752618554446501
147,Idaho St.,-6.301870233886856
148,Bowling Green,-6.8681722028546055
149,Kent St.,-7.212425642250656
150,Eastern Ky.,-7.351572625330321
151,Old Dominion,-7.72697725739927
152,UT Martin,-8.062980051078018
153,Central Ark.,-8.160899689107934
154,UTSA,-8.33733480227724
155,Albany (NY),-9.186952559058241
156,Georgia St.,-9.205460862244792
157,North Dakota,-9.357369276164599
158,Eastern Wash.,-9.544392331166314
159,Kennesaw St.,-11.17074457965321
160,Western Ill.,-11.564246105078045
161,McNeese,-11.59921926265498
162,Richmond,-11.610564854115204
163,New Hampshire,-11.84463033834595
164,Delaware,-11.988023057846616
165,Rice,-12.248727142873319
166,South Ala.,-12.636857312149148
167,Missouri St.,-12.780705716700377
168,New Mexico St.,-12.90828551489419
169,Texas St.,-13.115008368942483
170,Coastal Carolina,-13.346052599443581
171,Elon,-13.494054311326027
172,Southern Ill.,-14.239789276912397
173,Howard,-14.613935176454016
174,UTEP,-15.105474261090004
175,Charleston So.,-15.405393112408923
176,South Carolina St.,-15.57353065217771
177,Bethune-Cookman,-16.1951708940687
178,Murray St.,-16.361124082150848
179,Abilene Christian,-16.375105365909782
180,Towson,-17.005888333171576
181,Duquesne,-17.68508300960495
182,Southeast Mo. St.,-18.33218243824587
183,Alcorn,-18.69268135814492
184,UConn,-18.947238397809382
185,Western Caro.,-19.47662113974222
186,Rhode Island,-21.089640493802577
187,Prairie View,-21.502527703632005
188,Indiana St.,-22.14665968324207
189,Southern Utah,-22.1571500759703
190,Lehigh,-22.583687680477404
