year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2017,8,26,FAMU,TXSO,H,29,7,NA,2
2017,8,26,BYU,PRST,H,20,6,NA,2
2017,8,26,JVST,CHAT,H,27,13,NA,2
2017,8,27,CP,COLG,H,14,20,NA,2
2017,8,31,MORE,KCU,H,56,14,NA,2
2017,8,31,WAG,STA,H,37,7,NA,2
2017,8,31,WAKE,PRES,H,51,7,NA,2
2017,9,1,CIN,PEAY,H,26,14,NA,2
2017,9,1,GAST,TNST,H,10,17,NA,2
2017,9,1,SAM,KENN,H,28,23,NA,2
2017,9,1,DEL,DSU,H,22,3,NA,2
2017,9,1,UNH,MAINE,H,24,23,NA,2
2017,9,1,TNTC,WIU,H,14,41,NA,2
2017,9,1,INST,EIU,H,20,22,NA,2
2017,9,1,TOL,ELON,H,47,13,NA,2
2017,9,1,CMU,URI,H,30,27,3,2
2017,9,1,UTM,CLA,H,36,0,NA,2
2017,9,1,MER,JAC,H,48,7,NA,2
2017,9,1,MURR,KYW,H,67,7,NA,2
2017,9,1,CAMP,MTH,H,70,0,NA,2
2017,9,1,CONN,HC,H,27,20,NA,2
2017,9,1,UTAH,UND,H,37,16,NA,2
2017,9,1,ARK,FAMU,H,49,7,NA,2
2017,9,1,SDSU,DUQ,H,51,13,NA,2
2017,9,1,NICH,MCNS,H,37,35,NA,2
2017,9,1,IDST,WES,H,37,6,NA,2
2017,9,1,IDHO,SAC,H,28,6,NA,2
2017,9,1,ARMY,FOR,H,64,6,NA,2
2017,9,1,SYR,CCSU,H,50,7,NA,2
2017,9,1,SHSU,RICH,H,48,34,NA,2
2017,9,1,MIAMI,BCU,H,41,13,NA,2
2017,9,1,USF,STON,H,31,17,NA,2
2017,9,1,MIZ,MOST,H,72,43,NA,2
2017,9,1,SFU,LOC,H,69,3,NA,2
2017,9,1,RMU,DAY,H,13,10,NA,2
2017,9,1,LEH,NOVA,H,35,38,NA,2
2017,9,1,PITT,YSU,H,28,21,1,2
2017,9,1,ORST,PRST,H,35,32,NA,2
2017,9,1,AFA,VMI,H,62,0,NA,2
2017,9,1,MONT,VALP,H,45,23,NA,2
2017,9,1,MONM,LAF,H,31,12,NA,2
2017,9,1,BRY,MER,H,49,41,NA,2
2017,9,1,NDSU,MVSU,H,72,7,NA,2
2017,9,1,UVA,W&M,H,28,10,NA,2
2017,9,1,UAB,AAMU,H,38,7,NA,2
2017,9,1,TTU,EWU,H,56,10,NA,2
2017,9,1,MSST,CHSO,H,49,0,NA,2
2017,9,1,UNCO,COI,H,41,14,NA,2
2017,9,1,USD,WES,H,34,20,NA,2
2017,9,1,NSU,VIR,H,10,14,NA,2
2017,9,1,CIT,NBY,H,31,14,NA,2
2017,9,1,WOF,FUR,H,24,23,NA,2
2017,9,1,BUCK,MRST,H,45,6,NA,2
2017,9,1,WEBB,NCAT,H,3,45,NA,2
2017,9,1,SHU,STET,H,42,3,NA,2
2017,9,1,TOWS,MORG,H,10,0,NA,2
2017,9,1,DUKE,NCCU,H,60,7,NA,2
2017,9,1,ECU,JMU,H,14,34,NA,2
2017,9,1,ODU,ALBY,H,31,17,NA,2
2017,9,1,KSU,UCA,H,55,19,NA,2
2017,9,1,WSU,MTST,H,31,0,NA,2
2017,9,1,LT,NWST,H,52,24,NA,2
2017,9,1,UNT,LAM,H,59,14,NA,2
2017,9,1,WKU,EKY,H,31,17,NA,2
2017,9,1,ULL,SELA,H,51,48,NA,2
2017,9,1,TXST,HBU,H,20,11,NA,2
2017,9,1,BAY,LIB,H,45,48,NA,2
2017,9,1,KU,SEMO,H,38,16,NA,2
2017,9,1,DRKE,SDAK,H,7,77,NA,2
2017,9,1,SMU,SFA,H,58,14,NA,2
2017,9,1,OHIO,HAMP,H,59,0,NA,2
2017,9,1,ETSU,LIM,H,31,10,NA,2
2017,9,1,ALCN,MIL,H,50,21,NA,2
2017,9,1,DAV,BRE,H,30,7,NA,2
2017,9,1,UAPB,MOR,H,23,10,NA,2
2017,9,1,SJSU,CP,H,34,13,NA,2
2017,9,1,ILST,BUT,H,45,0,NA,2
2017,9,1,WEB,MWST,H,76,0,NA,2
2017,9,1,TULN,GRAM,H,43,14,NA,2
2017,9,1,UNM,ACU,H,38,14,NA,2
2017,9,1,TCU,JKST,H,63,0,NA,2
2017,9,1,ISU,UNI,H,42,24,NA,2
2017,9,1,ALST,TUS,H,6,14,NA,2
2017,9,1,ORE,SUU,H,77,21,NA,2
2017,9,1,SDSU,UCD,H,38,17,NA,2
2017,9,1,UNLV,HOW,H,40,43,NA,2
2017,9,1,FRES,IW,H,66,0,NA,2
2017,9,1,ARIZ,NAU,H,62,24,NA,2
2017,9,1,HAW,WCU,H,41,18,NA,2
2017,9,1,SOU,SCST,H,14,8,NA,2
2017,8,26,TXSO,FAMU,V,7,29,NA,2
2017,8,26,PRST,BYU,V,6,20,NA,2
2017,8,26,CHAT,JVST,V,13,27,NA,2
2017,8,27,COLG,CP,V,20,14,NA,2
2017,8,31,KCU,MORE,V,14,56,NA,2
2017,8,31,STA,WAG,V,7,37,NA,2
2017,8,31,PRES,WAKE,V,7,51,NA,2
2017,9,1,PEAY,CIN,V,14,26,NA,2
2017,9,1,TNST,GAST,V,17,10,NA,2
2017,9,1,KENN,SAM,V,23,28,NA,2
2017,9,1,DSU,DEL,V,3,22,NA,2
2017,9,1,MAINE,UNH,V,23,24,NA,2
2017,9,1,WIU,TNTC,V,41,14,NA,2
2017,9,1,EIU,INST,V,22,20,NA,2
2017,9,1,ELON,TOL,V,13,47,NA,2
2017,9,1,URI,CMU,V,27,30,3,2
2017,9,1,CLA,UTM,V,0,36,NA,2
2017,9,1,JAC,MER,V,7,48,NA,2
2017,9,1,KYW,MURR,V,7,67,NA,2
2017,9,1,MTH,CAMP,V,0,70,NA,2
2017,9,1,HC,CONN,V,20,27,NA,2
2017,9,1,UND,UTAH,V,16,37,NA,2
2017,9,1,FAMU,ARK,V,7,49,NA,2
