year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2017,10,14,PRES,CHSO,H,0,7,NA,2
2017,10,14,HARV,LAF,H,38,10,NA,2
2017,10,14,COLG,FOR,H,38,12,NA,2
2017,10,14,BUT,JAC,H,37,22,NA,2
2017,10,14,BRWN,PRIN,H,0,53,NA,2
2017,10,14,LEH,GTWN,H,54,35,NA,2
2017,10,14,FUR,VMI,H,42,10,NA,2
2017,10,14,BRY,SFU,H,14,30,NA,2
2017,10,14,SHU,DART,H,26,29,NA,2
2017,10,14,YALE,HC,H,32,0,NA,2
2017,10,14,MORG,SAV,H,48,28,NA,2
2017,10,14,DAY,CAMP,H,7,17,NA,2
2017,10,14,STET,DAV,H,28,17,NA,2
2017,10,14,COR,BUCK,H,18,26,NA,2
2017,10,14,CLMB,PENN,H,34,31,1,2
2017,10,14,NCCU,WEBB,H,24,17,NA,2
2017,10,14,SEMO,TNTC,H,31,3,NA,2
2017,10,14,DSU,HOW,H,23,52,NA,2
2017,10,14,NSU,HAMP,H,14,16,NA,2
2017,10,14,VALP,MRST,H,49,15,NA,2
2017,10,14,FAMU,NCAT,H,20,31,NA,2
2017,10,14,AAMU,MVSU,H,49,14,NA,2
2017,10,14,TXSO,ALST,H,16,23,NA,2
2017,10,14,SDSU,UNI,H,18,38,NA,2
2017,10,14,ALCN,PVAM,H,34,21,NA,2
2017,10,14,SIU,ILST,H,42,7,NA,2
2017,10,14,SDAK,INST,H,56,6,NA,2
2017,10,14,MONT,UND,H,41,17,NA,2
2017,10,14,DEL,W&M,H,17,0,NA,2
2017,10,14,JMU,NOVA,H,30,8,NA,2
2017,10,14,MAINE,URI,H,51,27,NA,2
2017,10,14,MER,CHAT,H,30,10,NA,2
2017,10,14,WCU,ETSU,H,49,10,NA,2
2017,10,14,UAPB,CCI,H,35,40,NA,2
2017,10,14,NICH,ACU,H,29,20,NA,2
2017,10,14,BCU,SCST,H,12,9,NA,2
2017,10,14,MURR,EIU,H,24,27,2,2
2017,10,14,JVST,EKY,H,41,25,NA,2
2017,10,14,WIU,MOST,H,49,30,NA,2
2017,10,14,TOWS,RICH,H,3,23,NA,2
2017,10,14,EWU,MTST,H,31,19,NA,2
2017,10,14,SHSU,NWST,H,40,36,NA,2
2017,10,14,PRST,NAU,H,20,42,NA,2
2017,10,14,USD,MORE,H,56,27,NA,2
2017,10,14,STON,UNH,H,38,24,NA,2
2017,10,14,LIB,KENN,H,28,42,NA,2
2017,10,14,CIT,WOF,H,16,20,NA,2
2017,10,14,WAG,CCSU,H,45,51,4,2
2017,10,14,RMU,DUQ,H,14,51,NA,2
2017,10,15,TNST,PEAY,H,17,21,NA,2
2017,10,15,UCA,SFA,H,24,20,NA,2
2017,10,15,YSU,NDSU,H,24,27,1,2
2017,10,15,HBU,SELA,H,10,56,NA,2
2017,10,15,IW,LAM,H,33,24,NA,2
2017,10,15,JKST,TUS,H,7,33,NA,2
2017,10,15,WEB,SUU,H,16,32,NA,2
2017,10,15,SAC,IDST,H,41,21,NA,2
2017,10,14,CHSO,PRES,V,7,0,NA,2
2017,10,14,LAF,HARV,V,10,38,NA,2
2017,10,14,FOR,COLG,V,12,38,NA,2
2017,10,14,JAC,BUT,V,22,37,NA,2
2017,10,14,PRIN,BRWN,V,53,0,NA,2
2017,10,14,GTWN,LEH,V,35,54,NA,2
2017,10,14,VMI,FUR,V,10,42,NA,2
2017,10,14,SFU,BRY,V,30,14,NA,2
2017,10,14,DART,SHU,V,29,26,NA,2
2017,10,14,HC,YALE,V,0,32,NA,2
2017,10,14,SAV,MORG,V,28,48,NA,2
2017,10,14,CAMP,DAY,V,17,7,NA,2
2017,10,14,DAV,STET,V,17,28,NA,2
2017,10,14,BUCK,COR,V,26,18,NA,2
2017,10,14,PENN,CLMB,V,31,34,1,2
2017,10,14,WEBB,NCCU,V,17,24,NA,2
2017,10,14,TNTC,SEMO,V,3,31,NA,2
2017,10,14,HOW,DSU,V,52,23,NA,2
2017,10,14,HAMP,NSU,V,16,14,NA,2
2017,10,14,MRST,VALP,V,15,49,NA,2
2017,10,14,NCAT,FAMU,V,31,20,NA,2
2017,10,14,MVSU,AAMU,V,14,49,NA,2
2017,10,14,ALST,TXSO,V,23,16,NA,2
2017,10,14,UNI,SDSU,V,38,18,NA,2
2017,10,14,PVAM,ALCN,V,21,34,NA,2
2017,10,14,ILST,SIU,V,7,42,NA,2
2017,10,14,INST,SDAK,V,6,56,NA,2
2017,10,14,UND,MONT,V,17,41,NA,2
2017,10,14,W&M,DEL,V,0,17,NA,2
2017,10,14,NOVA,JMU,V,8,30,NA,2
2017,10,14,URI,MAINE,V,27,51,NA,2
2017,10,14,CHAT,MER,V,10,30,NA,2
2017,10,14,ETSU,WCU,V,10,49,NA,2
2017,10,14,CCI,UAPB,V,40,35,NA,2
2017,10,14,ACU,NICH,V,20,29,NA,2
2017,10,14,SCST,BCU,V,9,12,NA,2
2017,10,14,EIU,MURR,V,27,24,2,2
2017,10,14,EKY,JVST,V,25,41,NA,2
2017,10,14,MOST,WIU,V,30,49,NA,2
2017,10,14,RICH,TOWS,V,23,3,NA,2
2017,10,14,MTST,EWU,V,19,31,NA,2
2017,10,14,NWST,SHSU,V,36,40,NA,2
2017,10,14,NAU,PRST,V,42,20,NA,2
2017,10,14,MORE,USD,V,27,56,NA,2
2017,10,14,UNH,STON,V,24,38,NA,2
2017,10,14,KENN,LIB,V,42,28,NA,2
2017,10,14,WOF,CIT,V,20,16,NA,2
2017,10,14,CCSU,WAG,V,51,45,4,2
2017,10,14,DUQ,RMU,V,51,14,NA,2
2017,10,15,PEAY,TNST,V,21,17,NA,2
2017,10,15,SFA,UCA,V,20,24,NA,2
2017,10,15,NDSU,YSU,V,27,24,1,2
2017,10,15,SELA,HBU,V,56,10,NA,2
2017,10,15,LAM,IW,V,24,33,NA,2
2017,10,15,TUS,JKST,V,33,7,NA,2
2017,10,15,SUU,WEB,V,32,16,NA,2
2017,10,15,IDST,SAC,V,21,41,NA,2
