0,Duquesne
Rice,Prairie View
Jacksonville St.,N.C. A&T
Wagner,Boise St.
Chattanooga,Tennessee Tech
Eastern Ky.,Morehead St.
Delaware,Rhode Island
Maine,New Hampshire
Campbell,0
Indiana St.,0
Murray St.,Southern Ill.
Ball St.,Central Conn. St.
Georgia St.,Kennesaw St.
North Dakota,Mississippi Val.
Samford,0
La.-Monroe,Southeastern La.
0,Savannah St.
Oklahoma St.,Missouri St.
Utah,Weber St.
Texas A&M,Northwestern St.
Montana St.,Western Ill.
San Jose St.,UC Davis
Eastern Mich.,Monmouth
Idaho St.,0
Nevada,Portland St.
Clemson,Furman
Georgia,Austin Peay
TCU,Southern U.
Temple,Villanova
North Carolina St.,James Madison
Georgia Tech,Alcorn
Lehigh,Saint Francis (PA)
Colgate,Holy Cross
Dayton,Robert Morris
Jacksonville,0
Marist,Georgetown
Duquesne,0
Air Force,Stony Brook
Youngstown St.,Butler
Ohio,Howard
Bryant,0
Pittsburgh,Albany (NY)
North Dakota St.,Cal Poly
Northern Colo.,McNeese
Arkansas,Eastern Ill.
Missouri,UT Martin
Eastern Wash.,0
San Diego,0
Florida A&M,Fordham
Norfolk St.,0
Alabama St.,0
Hampton,0
Virginia,Richmond
Buffalo,Delaware St.
Ga. Southern,South Carolina St.
South Fla.,Elon
Charlotte,Fordham
Western Caro.,0
Wofford,The Citadel
Sacred Heart,Lafayette
Bucknell,William & Mary
Gardner-Webb,0
Mississippi St.,SFA
Lamar University,0
Houston Baptist,0
Morgan St.,Towson
Davidson,0
Tennessee St.,Bethune-Cookman
Southern Miss.,Jackson St.
Memphis,Mercer
Tulsa,Central Ark.
Louisiana,Grambling
Arkansas St.,Southeast Mo. St.
Toledo,VMI
Kansas,Nicholls St.
Kansas St.,South Dakota
Stetson,0
Ark.-Pine Bluff,0
Alabama A&M,0
ETSU,0
Florida,Charleston So.
UTEP,Northern Ariz.
Illinois St.,0
New Mexico,Incarnate Word
Southern Utah,0
Baylor,Abilene Christian
Texas Southern,0
Sacramento St.,0
Montana,UNI
Fresno St.,Idaho
N.C. Central,Prairie View
East Carolina,N.C. A&T
Duquesne,0
