,team,YUSAG_coef
1,TTU,76.88983075556006
2,FRES,67.22367936124623
3,WSU,60.02899897777686
4,MD,54.74383183816011
5,MIAMI,50.640560338429175
6,WASH,50.34245615901446
7,TENN,49.569957227569624
8,AFA,47.776919610150735
9,RUTG,47.44639003670473
10,ORE,47.40757859251179
11,CLEM,46.70100894810414
12,MEM,45.53710504466679
13,NEV,44.849672164973185
14,FLA,44.81548669616022
15,MSST,44.62666365064523
16,UNT,43.92717216746131
17,BC,43.91426528801698
18,UTAH,42.654746348770175
19,TCU,42.409310949567455
20,TA&M,42.165627445457744
21,TOL,41.74017643933045
22,APP,40.40052695928467
23,IOWA,40.27846780802712
24,North Dakota St.,39.91927482411947
25,VT,39.69482495471001
26,STAN,39.49657123154284
27,UMASS,39.33160762686304
28,WVU,39.307467686075526
29,OKST,39.164409123439924
30,UGA,37.88607008025444
31,USU,37.84060867390408
32,SC,37.336925377423455
33,ODU,37.24043160592319
34,WAKE,36.34643397085147
35,GT,36.093593752232415
36,ALA,36.01418358095848
37,WMU,35.84052573563751
38,CIN,35.61255860511253
39,TROY,35.51733872089112
40,MISS,35.501599497934436
41,NCST,34.693018869385966
42,SYR,33.10764149088877
43,ILL,32.88552050931945
44,TULN,32.75575235995634
45,COLO,32.65667278158786
46,UNM,32.2503119178485
47,MIZ,30.92592217099628
48,LOU,30.91986747342946
49,Eastern Wash.,30.71167784404813
50,LT,30.18234613188386
51,ARKST,29.910602063559363
52,UAB,29.494541862676837
53,South Dakota St.,28.92952815927797
54,UTSA,28.3837117374362
55,USM,28.338125854310654
56,ARIZ,27.816270235341726
57,LSU,27.653063294463898
58,ARK,27.47430221879653
59,CAL,27.313757459120186
60,Princeton,26.522669240802013
61,USF,26.31154645107277
62,HOU,26.15449176764257
63,EMU,25.883889810590524
64,James Madison,25.66056068196526
65,UCF,24.605689123916438
66,UVA,23.93565786545252
67,UK,23.882967378454765
68,BALL,23.762288147529354
69,BAY,23.58006735636742
70,BYU,23.152368667237518
71,AUB,22.99968709171113
72,KENT,22.265606808281607
73,FSU,22.135247951986056
74,NEB,21.912409802874382
