year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2018,8,31,Abilene Christian,Baylor,V,27,55,NA,2
2018,11,3,Air Force,Army West Point,V,14,17,NA,2
2018,10,28,Air Force,Boise St.,H,38,48,NA,2
2018,11,22,Air Force,Colorado St.,H,27,19,NA,2
2018,9,8,Air Force,Fla. Atlantic,V,27,33,NA,2
2018,10,6,Air Force,Navy,H,35,7,NA,2
2018,9,29,Air Force,Nevada,H,25,28,NA,2
2018,11,10,Air Force,New Mexico,H,42,24,NA,2
2018,10,13,Air Force,South Dakota St.,V,17,21,NA,2
2018,8,31,Air Force,Stony Brook,H,38,0,NA,2
2018,10,20,Air Force,UNLV,V,41,35,NA,2
2018,9,23,Air Force,Utah St.,V,32,42,NA,2
2018,11,17,Air Force,Wyoming,V,27,35,NA,2
2018,11,17,Akron,Bowling Green,H,6,21,NA,2
2018,10,13,Akron,Buffalo,V,6,24,NA,2
2018,10,27,Akron,Central Mich.,H,17,10,NA,2
2018,11,10,Akron,Eastern Mich.,V,7,27,NA,2
2018,9,22,Akron,Iowa St.,V,13,26,NA,2
2018,10,20,Akron,Kent St.,V,24,23,1,2
2018,10,6,Akron,Miami (OH),H,17,41,NA,2
2018,9,8,Akron,Morgan St.,H,41,7,NA,2
2018,11,1,Akron,Northern Ill.,H,26,36,NA,2
2018,9,16,Akron,Northwestern,V,39,34,NA,2
2018,11,23,Akron,Ohio,V,28,49,NA,2
2018,10,6,Alabama,Arkansas,V,65,31,NA,2
2018,9,8,Alabama,Arkansas St.,H,57,7,NA,2
2018,11,24,Alabama,Auburn,H,52,21,NA,2
2018,12,1,Alabama,Georgia,V,35,28,NA,2
2018,9,29,Alabama,Louisiana,H,56,14,NA,2
2018,8,31,Alabama,Louisville,H,51,14,NA,2
2018,11,4,Alabama,LSU,V,29,0,NA,2
2018,11,10,Alabama,Mississippi St.,H,24,0,NA,2
2018,10,14,Alabama,Missouri,H,39,10,NA,2
2018,9,16,Alabama,Ole Miss,V,62,7,NA,2
2018,10,20,Alabama,Tennessee,V,58,21,NA,2
2018,9,22,Alabama,Texas A&M,H,45,23,NA,2
2018,11,17,Alabama,The Citadel,H,50,17,NA,2
2018,9,16,Alabama A&M,Cincinnati,V,7,63,NA,2
2018,9,9,Alabama St.,Auburn,V,9,63,NA,2
2018,10,13,Alabama St.,South Ala.,V,7,45,NA,2
2018,8,31,Albany (NY),Pittsburgh,V,7,33,NA,2
2018,8,31,Alcorn,Georgia Tech,V,0,41,NA,2
2018,11,3,Alcorn,New Mexico St.,V,42,52,NA,2
2018,10,10,Appalachian St.,Arkansas St.,V,35,9,NA,2
2018,9,8,Appalachian St.,Charlotte,V,45,9,NA,2
2018,11,3,Appalachian St.,Coastal Carolina,V,23,7,NA,2
2018,10,26,Appalachian St.,Ga. Southern,V,14,34,NA,2
2018,9,22,Appalachian St.,Gardner-Webb,H,72,7,NA,2
2018,11,17,Appalachian St.,Georgia St.,H,45,17,NA,2
2018,12,1,Appalachian St.,Louisiana,H,30,19,NA,2
2018,10,20,Appalachian St.,Louisiana,H,27,17,NA,2
2018,8,31,Appalachian St.,Penn St.,V,38,45,1,2
2018,9,29,Appalachian St.,South Ala.,H,52,7,NA,2
2018,11,10,Appalachian St.,Texas St.,V,38,7,NA,2
2018,11,24,Appalachian St.,Troy,H,21,10,NA,2
2018,11,24,Arizona,Arizona St.,H,40,41,NA,2
2018,8,31,Arizona,BYU,H,23,28,NA,2
2018,10,7,Arizona,California,H,24,17,NA,2
2018,11,3,Arizona,Colorado,H,42,34,NA,2
2018,9,8,Arizona,Houston,V,18,45,NA,2
2018,10,28,Arizona,Oregon,H,44,15,NA,2
2018,9,22,Arizona,Oregon St.,V,35,14,NA,2
2018,9,30,Arizona,South Carolina,H,20,24,NA,2
2018,9,16,Arizona,Southern Utah,H,62,31,NA,2
2018,10,21,Arizona,UCLA,V,30,31,NA,2
2018,10,13,Arizona,Utah,V,10,42,NA,2
2018,11,18,Arizona,Washington St.,V,28,69,NA,2
2018,11,24,Arizona St.,Arizona,V,41,40,NA,2
2018,10,6,Arizona St.,Colorado,V,21,28,NA,2
2018,9,9,Arizona St.,Michigan St.,H,16,13,NA,2
2018,11,18,Arizona St.,Oregon,V,29,31,NA,2
2018,9,30,Arizona St.,Oregon St.,H,52,24,NA,2
2018,10,27,Arizona St.,South Carolina,V,38,35,NA,2
2018,9,16,Arizona St.,South Dakota St.,V,21,28,NA,2
2018,10,19,Arizona St.,Stanford,H,13,20,NA,2
2018,11,10,Arizona St.,UCLA,H,31,28,NA,2
2018,11,3,Arizona St.,Utah,H,38,20,NA,2
2018,8,31,Arizona St.,UTSA,H,49,7,NA,2
2018,9,23,Arizona St.,Washington,V,20,27,NA,2
2018,9,30,Ark.-Pine Bluff,FIU,V,9,55,NA,2
2018,10,6,Arkansas,Alabama,H,31,65,NA,2
2018,9,23,Arkansas,Auburn,V,3,34,NA,2
2018,9,9,Arkansas,Colorado St.,V,27,34,NA,2
2018,8,31,Arkansas,Eastern Ill.,H,55,20,NA,2
2018,11,11,Arkansas,LSU,H,17,24,NA,2
2018,11,17,Arkansas,Mississippi St.,V,6,52,NA,2
2018,11,23,Arkansas,Missouri,V,0,38,NA,2
2018,9,15,Arkansas,North Texas,H,17,44,NA,2
2018,10,14,Arkansas,Ole Miss,H,33,37,NA,2
2018,9,29,Arkansas,Texas A&M,V,17,24,NA,2
2018,10,20,Arkansas,Tulsa,H,23,0,NA,2
2018,10,27,Arkansas,Vanderbilt,H,31,45,NA,2
2018,9,8,Arkansas St.,Alabama,V,7,57,NA,2
2018,10,10,Arkansas St.,Appalachian St.,H,9,35,NA,2
2018,11,10,Arkansas St.,Coastal Carolina,V,44,16,NA,2
2018,9,29,Arkansas St.,Ga. Southern,V,21,28,NA,2
2018,10,19,Arkansas St.,Georgia St.,H,51,35,NA,2
2018,11,17,Arkansas St.,La.-Monroe,H,31,17,NA,2
2018,10,28,Arkansas St.,Louisiana,V,43,47,NA,2
2018,11,3,Arkansas St.,South Ala.,H,38,14,NA,2
2018,8,31,Arkansas St.,Southeast Mo. St.,H,48,21,NA,2
2018,11,24,Arkansas St.,Texas St.,V,33,7,NA,2
2018,9,16,Arkansas St.,Tulsa,V,29,20,NA,2
2018,9,23,Arkansas St.,UNLV,H,27,20,NA,2
2018,11,3,Army West Point,Air Force,H,17,14,NA,2
2018,9,29,Army West Point,Buffalo,V,42,13,NA,2
