year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2017,11,18,Abilene Christian,Central Ark.,V,0,34,NA,2
2017,9,9,Abilene Christian,Colorado St.,V,10,38,NA,2
2017,9,17,Abilene Christian,Houston Baptist,H,24,3,NA,2
2017,9,30,Abilene Christian,Incarnate Word,V,45,20,NA,2
2017,10,8,Abilene Christian,McNeese,H,7,13,NA,2
2017,9,1,Abilene Christian,New Mexico,V,14,38,NA,2
2017,10,14,Abilene Christian,Nicholls St.,V,20,29,NA,2
2017,11,4,Abilene Christian,Northwestern St.,V,23,26,1,2
2017,11,11,Abilene Christian,Sam Houston St.,H,35,44,NA,2
2017,9,24,Abilene Christian,SFA,H,10,20,NA,2
2017,10,21,Abilene Christian,Southeastern La.,H,21,56,NA,2
2017,9,1,Air Force,VMI,H,62,0,NA,2
2017,11,18,Alabama,Mercer,H,56,0,NA,2
2017,10,28,Alabama A&M,Alabama St.,V,16,21,NA,2
2017,11,4,Alabama A&M,Alcorn,V,22,47,NA,2
2017,9,30,Alabama A&M,Ark.-Pine Bluff,H,27,14,NA,2
2017,11,11,Alabama A&M,Jackson St.,H,7,10,NA,2
2017,10,14,Alabama A&M,Mississippi Val.,H,49,14,NA,2
2017,9,17,Alabama A&M,South Ala.,V,0,45,NA,2
2017,10,7,Alabama A&M,Southern U.,V,14,35,NA,2
2017,9,24,Alabama A&M,Texas Southern,H,30,13,NA,2
2017,9,9,Alabama A&M,Vanderbilt,V,0,42,NA,2
2017,10,28,Alabama St.,Alabama A&M,H,21,16,NA,2
2017,10,6,Alabama St.,Alcorn,H,10,24,NA,2
2017,11,11,Alabama St.,Grambling,H,7,24,NA,2
2017,11,4,Alabama St.,Jackson St.,V,13,3,NA,2
2017,9,17,Alabama St.,Kennesaw St.,H,14,20,NA,2
2017,11,18,Alabama St.,Mississippi Val.,V,16,10,NA,2
2017,9,24,Alabama St.,Prairie View,H,0,34,NA,2
2017,10,14,Alabama St.,Texas Southern,V,23,16,NA,2
2017,9,9,Alabama St.,Troy,V,7,34,NA,2
2017,11,11,Albany (NY),Delaware,V,3,22,NA,2
2017,9,30,Albany (NY),Elon,V,0,6,NA,2
2017,10,21,Albany (NY),Maine,H,10,12,NA,2
2017,9,17,Albany (NY),Monmouth,H,28,14,NA,2
2017,9,9,Albany (NY),Morgan St.,V,26,0,NA,2
2017,11,18,Albany (NY),New Hampshire,H,15,0,NA,2
2017,9,1,Albany (NY),Old Dominion,V,17,31,NA,2
2017,10,28,Albany (NY),Rhode Island,H,14,31,NA,2
2017,10,7,Albany (NY),Richmond,V,38,41,2,2
2017,11,4,Albany (NY),Stony Brook,V,21,28,1,2
2017,9,24,Albany (NY),Villanova,H,19,10,1,2
2017,11,4,Alcorn,Alabama A&M,H,47,22,NA,2
2017,10,6,Alcorn,Alabama St.,V,24,10,NA,2
2017,9,9,Alcorn,FIU,V,10,17,NA,2
2017,10,21,Alcorn,Grambling,V,14,41,NA,2
2017,12,2,Alcorn,Grambling,V,32,40,NA,2
2017,11,18,Alcorn,Jackson St.,V,3,7,NA,2
2017,9,17,Alcorn,McNeese,H,27,34,NA,2
2017,11,11,Alcorn,Mississippi Val.,H,59,0,NA,2
2017,10,14,Alcorn,Prairie View,H,34,21,NA,2
2017,9,24,Alcorn,Southern U.,H,48,31,NA,2
2017,9,30,Alcorn,Texas Southern,V,24,17,NA,2
2017,9,9,Appalachian St.,Savannah St.,H,54,7,NA,2
2017,9,1,Arizona,Northern Ariz.,H,62,24,NA,2
2017,9,30,Ark.-Pine Bluff,Alabama A&M,V,14,27,NA,2
2017,11,4,Ark.-Pine Bluff,Grambling,H,26,31,NA,2
2017,9,24,Ark.-Pine Bluff,Jackson St.,V,34,27,1,2
2017,10,8,Ark.-Pine Bluff,Mississippi Val.,H,31,38,NA,2
2017,11,11,Ark.-Pine Bluff,Prairie View,V,12,35,NA,2
2017,10,28,Ark.-Pine Bluff,Southern U.,H,40,47,NA,2
2017,11,18,Ark.-Pine Bluff,Texas Southern,H,10,24,NA,2
2017,9,1,Arkansas,Florida A&M,H,49,7,NA,2
2017,9,1,Army West Point,Fordham,H,64,6,NA,2
2017,9,16,Auburn,Mercer,H,24,10,NA,2
2017,9,1,Austin Peay,Cincinnati,V,14,26,NA,2
2017,11,18,Austin Peay,Eastern Ill.,H,28,13,NA,2
2017,11,11,Austin Peay,Eastern Ky.,V,31,24,NA,2
2017,10,7,Austin Peay,Jacksonville St.,H,14,34,NA,2
2017,9,9,Austin Peay,Miami (OH),V,10,31,NA,2
2017,9,17,Austin Peay,Morehead St.,H,69,13,NA,2
2017,9,24,Austin Peay,Murray St.,V,27,7,NA,2
2017,10,21,Austin Peay,Southeast Mo. St.,H,38,31,NA,2
2017,10,15,Austin Peay,Tennessee St.,V,21,17,NA,2
2017,11,4,Austin Peay,Tennessee Tech,V,35,28,NA,2
2017,10,28,Austin Peay,UCF,V,33,73,NA,2
2017,9,30,Austin Peay,UT Martin,H,7,0,NA,2
2017,9,16,Ball St.,Tennessee Tech,H,28,13,NA,2
2017,9,1,Baylor,Liberty,H,45,48,NA,2
2017,9,16,Bethune-Cookman,Fla. Atlantic,V,0,45,NA,2
2017,11,18,Bethune-Cookman,Florida A&M,H,29,24,NA,2
2017,10,28,Bethune-Cookman,Hampton,H,24,21,NA,2
2017,9,23,Bethune-Cookman,Howard,V,24,26,NA,2
2017,9,1,Bethune-Cookman,Miami (FL),V,13,41,NA,2
2017,11,4,Bethune-Cookman,Morgan St.,H,41,28,NA,2
2017,10,21,Bethune-Cookman,N.C. A&T,V,20,24,NA,2
2017,11,11,Bethune-Cookman,N.C. Central,V,13,10,NA,2
2017,9,30,Bethune-Cookman,Savannah St.,H,24,12,NA,2
2017,10,14,Bethune-Cookman,South Carolina St.,H,12,9,NA,2
2017,9,10,Bethune-Cookman,Southeastern La.,V,28,23,NA,2
2017,9,9,Bowling Green,South Dakota,H,27,35,NA,2
2017,9,16,Brown,Bryant,H,28,23,NA,2
2017,11,18,Brown,Columbia,V,6,24,NA,2
2017,10,21,Brown,Cornell,V,7,34,NA,2
2017,11,11,Brown,Dartmouth,H,10,33,NA,2
2017,9,23,Brown,Harvard,V,28,45,NA,2
2017,10,28,Brown,Penn,H,7,17,NA,2
